Region_code,Price,Property_type,Bedrooms_str,Year,Month_name,Day_name,Price_per_bedrooms
2607,525000,house,Four_bedrooms,2007,February,Wednesday,131250.0
2906,290000,house,Three_bedrooms,2007,February,Tuesday,96667.0
2905,328000,house,Three_bedrooms,2007,March,Wednesday,109333.0
2905,380000,house,Four_bedrooms,2007,March,Friday,95000.0
2906,310000,house,Three_bedrooms,2007,March,Wednesday,103333.0
2905,465000,house,Four_bedrooms,2007,April,Wednesday,116250.0
2607,399000,house,Three_bedrooms,2007,April,Tuesday,133000.0
2606,1530000,house,Four_bedrooms,2007,April,Monday,382500.0
2902,359000,house,Three_bedrooms,2007,May,Thursday,119667.0
2906,320000,house,Three_bedrooms,2007,May,Friday,106667.0
2902,385000,house,Three_bedrooms,2007,June,Tuesday,128333.0
2906,305000,house,Three_bedrooms,2007,June,Wednesday,101667.0
2612,850000,house,Four_bedrooms,2007,June,Wednesday,212500.0
2904,765000,house,Four_bedrooms,2007,June,Thursday,191250.0
2615,517000,house,Four_bedrooms,2007,June,Saturday,129250.0
2914,800000,house,Five_bedrooms,2007,July,Monday,160000.0
2906,336000,house,Three_bedrooms,2007,July,Tuesday,112000.0
2615,535000,house,Five_bedrooms,2007,July,Friday,107000.0
2602,900000,house,Four_bedrooms,2007,July,Saturday,225000.0
2600,327000,house,One_bedrooms,2007,July,Sunday,327000.0
2602,427500,house,Three_bedrooms,2007,July,Thursday,142500.0
2602,780000,house,Three_bedrooms,2007,July,Friday,260000.0
2602,530000,house,Three_bedrooms,2007,July,Wednesday,176667.0
2602,590000,house,Three_bedrooms,2007,July,Wednesday,196667.0
2605,525000,house,Three_bedrooms,2007,July,Friday,175000.0
2904,549000,house,Four_bedrooms,2007,July,Friday,137250.0
2603,1780000,house,Four_bedrooms,2007,July,Saturday,445000.0
2611,446000,house,Three_bedrooms,2007,July,Monday,148667.0
2607,558000,house,Four_bedrooms,2007,July,Monday,139500.0
2605,506000,house,Three_bedrooms,2007,July,Tuesday,168667.0
2903,520000,house,Four_bedrooms,2007,July,Tuesday,130000.0
2905,383000,house,Three_bedrooms,2007,August,Friday,127667.0
2607,520000,house,Three_bedrooms,2007,August,Friday,173333.0
2904,815000,house,Five_bedrooms,2007,August,Tuesday,163000.0
2602,545500,house,Three_bedrooms,2007,August,Friday,181833.0
2602,760000,house,Three_bedrooms,2007,August,Friday,253333.0
2602,520000,house,Three_bedrooms,2007,August,Saturday,173333.0
2606,636000,house,Three_bedrooms,2007,August,Saturday,212000.0
2617,625000,house,Four_bedrooms,2007,August,Tuesday,156250.0
2600,790000,house,Four_bedrooms,2007,August,Thursday,197500.0
2905,320000,house,Three_bedrooms,2007,August,Tuesday,106667.0
2902,418000,house,Five_bedrooms,2007,August,Tuesday,83600.0
2905,455000,house,Four_bedrooms,2007,August,Tuesday,113750.0
2913,560000,house,Four_bedrooms,2007,August,Thursday,140000.0
2904,585000,house,Four_bedrooms,2007,August,Friday,146250.0
2906,325000,house,Two_bedrooms,2007,August,Tuesday,162500.0
2902,420000,house,Four_bedrooms,2007,August,Tuesday,105000.0
2602,599000,house,Three_bedrooms,2007,August,Wednesday,199667.0
2905,315000,house,Two_bedrooms,2007,August,Thursday,157500.0
2913,367000,house,Three_bedrooms,2007,August,Thursday,122333.0
2902,348000,house,Three_bedrooms,2007,August,Friday,116000.0
2611,532500,house,Four_bedrooms,2007,August,Friday,133125.0
2611,465000,house,Three_bedrooms,2007,September,Monday,155000.0
2913,820000,house,Four_bedrooms,2007,September,Tuesday,205000.0
2611,590000,house,Three_bedrooms,2007,September,Thursday,196667.0
2904,559000,house,Four_bedrooms,2007,September,Tuesday,139750.0
2902,446000,house,Four_bedrooms,2007,September,Saturday,111500.0
2602,470000,house,Three_bedrooms,2007,September,Tuesday,156667.0
2903,396500,house,Four_bedrooms,2007,September,Thursday,99125.0
2604,479000,house,Three_bedrooms,2007,September,Thursday,159667.0
2603,1460000,house,Five_bedrooms,2007,September,Friday,292000.0
2602,500000,house,Four_bedrooms,2007,September,Saturday,125000.0
2602,506000,house,Four_bedrooms,2007,September,Saturday,126500.0
2607,520000,house,Four_bedrooms,2007,September,Saturday,130000.0
2612,920000,house,Four_bedrooms,2007,September,Monday,230000.0
2903,507000,house,Four_bedrooms,2007,September,Thursday,126750.0
2611,475000,house,Three_bedrooms,2007,October,Tuesday,158333.0
2904,397000,house,Three_bedrooms,2007,October,Tuesday,132333.0
2605,556000,house,Three_bedrooms,2007,October,Wednesday,185333.0
2905,447000,house,Four_bedrooms,2007,October,Friday,111750.0
2614,720000,house,Four_bedrooms,2007,October,Friday,180000.0
2615,273000,house,One_bedrooms,2007,October,Monday,273000.0
2615,368000,house,Three_bedrooms,2007,October,Tuesday,122667.0
2905,385000,house,Three_bedrooms,2007,October,Tuesday,128333.0
2904,560000,house,Five_bedrooms,2007,October,Wednesday,112000.0
2905,455000,house,Four_bedrooms,2007,October,Friday,113750.0
2906,480000,house,Four_bedrooms,2007,October,Friday,120000.0
2906,300500,house,Three_bedrooms,2007,October,Wednesday,100167.0
2602,505000,house,Three_bedrooms,2007,October,Wednesday,168333.0
2602,135500,house,One_bedrooms,2007,October,Thursday,135500.0
2912,590000,house,Four_bedrooms,2007,October,Thursday,147500.0
2617,645000,house,Five_bedrooms,2007,October,Thursday,129000.0
2605,770000,house,Four_bedrooms,2007,October,Thursday,192500.0
2913,1100000,house,Five_bedrooms,2007,October,Friday,220000.0
2913,365000,house,Three_bedrooms,2007,November,Friday,121667.0
2607,612500,house,Four_bedrooms,2007,November,Friday,153125.0
2615,472500,house,Four_bedrooms,2007,November,Monday,118125.0
2611,600000,house,Five_bedrooms,2007,November,Monday,120000.0
2615,372500,house,Three_bedrooms,2007,November,Wednesday,124167.0
2905,395000,house,Three_bedrooms,2007,November,Thursday,131667.0
2602,497000,house,Two_bedrooms,2007,November,Thursday,248500.0
2906,595000,house,Four_bedrooms,2007,November,Thursday,148750.0
2611,465000,house,Two_bedrooms,2007,November,Monday,232500.0
2903,505000,house,Four_bedrooms,2007,November,Monday,126250.0
2615,379000,house,Three_bedrooms,2007,November,Friday,126333.0
2604,505000,house,Three_bedrooms,2007,November,Friday,168333.0
2614,380000,house,Three_bedrooms,2007,November,Saturday,126667.0
2902,655000,house,Four_bedrooms,2007,November,Saturday,163750.0
2603,760000,house,Three_bedrooms,2007,November,Saturday,253333.0
2603,760500,house,Three_bedrooms,2007,November,Saturday,253500.0
2615,442500,house,Four_bedrooms,2007,November,Tuesday,110625.0
2902,560000,house,Four_bedrooms,2007,November,Thursday,140000.0
2904,560000,house,Four_bedrooms,2007,November,Friday,140000.0
